Month,Opening Principal Balance,Rates,Cashflow,Interest Paid,Principal Paid,Closing Princial Balance
0,1000000.0,0.0978,8613.583831412854,8150.00000000002,463.5838314128341,999536.4161685872
1,999536.4161685872,0.0978,8613.583831412854,8146.2217917740545,467.3620396387996,999069.0541289484
2,999069.0541289484,0.0978,8613.583831412854,8142.412791150991,471.1710402618628,998597.8830886865
3,998597.8830886865,0.0978,8613.583831412854,8138.572747172808,475.01108424004633,998122.8720044465
4,998122.8720044465,0.0978,8613.583831412854,8134.7014068361805,478.88242457667366,997643.9895798698
5,997643.9895798698,0.0978,8613.583831412854,8130.798515075721,482.7853163371328,997161.2042635327
6,997161.2042635327,0.0978,8613.583831412854,8126.863814748029,486.7200166648254,996674.4842468678
7,996674.4842468678,0.0978,8613.583831412854,8122.897046611781,490.6867848010734,996183.7974620668
8,996183.7974620668,0.0978,8613.583831412854,8118.89794931586,494.68588209699374,995689.1115799698
9,995689.1115799698,0.0978,8613.583831412854,8114.866259376888,498.71757203596644,995190.3940079338
10,995190.3940079338,0.0978,8613.583831412854,8110.8017111643185,502.78212024853565,994687.6118876853
11,994687.6118876853,0.0978,8613.583831412854,8106.704036884728,506.8797945281258,994180.7320931571
12,994180.7320931571,0.0978,8613.583831412854,8102.572966559228,511.0108648536261,993669.7212283035
13,993669.7212283035,0.0978,8613.583831412854,8098.408228010658,515.1756034021964,993154.5456249013
14,993154.5456249013,0.0978,8613.583831412854,8094.209546842865,519.374284569989,992635.1713403313
15,992635.1713403313,0.0978,8613.583831412854,8089.976646423942,523.6071849889122,992111.5641553424
16,992111.5641553424,0.0978,8613.583831412854,8085.709247865967,527.8745835468872,991583.6895717955
17,991583.6895717955,0.0978,8613.583831412854,8081.407070010106,532.1767614027485,991051.5128103928
18,991051.5128103928,0.0978,8613.583831412854,8077.069829404607,536.5140020082472,990514.9988083845
19,990514.9988083845,0.0978,8613.583831412854,8072.697240288389,540.8865911244648,989974.1122172601
20,989974.1122172601,0.0978,8613.583831412854,8068.289014570551,545.2948168423027,989428.8174004178
21,989428.8174004178,0.0978,8613.583831412854,8063.8448618137245,549.7389695991296,988879.0784308186
22,988879.0784308186,0.0978,8613.583831412854,8059.364489210906,554.2193422019482,988324.8590886167
